subj,graphid,tp,q,pt
10,Q10 D,0,Q10,D
10,Q11 A,0,Q11,A
10,Q11 B,0,Q11,B
10,Q11 C,0,Q11,C
10,Q11 D,0,Q11,D
10,Q12 A,0,Q12,A
10,Q13 A,1,Q13,A
11,Q2 A,0,Q2,A
11,Q2 B,1,Q2,B
11,Q2 C,0,Q2,C
11,Q3 A,1,Q3,A
11,Q3 B,0,Q3,B
11,Q3 C,0,Q3,C
11,Q3 D,0,Q3,D
11,Q3 E,0,Q3,E
11,Q4 A,0,Q4,A
11,Q4 B,0,Q4,B
11,Q5 A,0,Q5,A
11,Q5 B,0,Q5,B
11,Q5 C,1,Q5,C
11,Q5 D,0,Q5,D
11,Q6 A,1,Q6,A
11,Q6 B,0,Q6,B
11,Q6 C,1,Q6,C
11,Q7 A,1,Q7,A
11,Q7 B,0,Q7,B
11,Q8 A,1,Q8,A
11,Q8 B,1,Q8,B
11,Q9 A,1,Q9,A
11,Q10 A,1,Q10,A
11,Q10 B,0,Q10,B
11,Q10 C,0,Q10,C
11,Q10 D,0,Q10,D
11,Q11 A,1,Q11,A
11,Q11 B,0,Q11,B
11,Q11 C,0,Q11,C
11,Q11 D,0,Q11,D
11,Q12 A,0,Q12,A
11,Q13 A,1,Q13,A
12,Q2 A,1,Q2,A
12,Q2 B,1,Q2,B
12,Q2 C,1,Q2,C
12,Q3 A,1,Q3,A
12,Q3 B,0,Q3,B
12,Q3 C,1,Q3,C
12,Q3 D,1,Q3,D
12,Q3 E,1,Q3,E
12,Q4 A,0,Q4,A
12,Q4 B,0,Q4,B
12,Q5 A,1,Q5,A
12,Q5 B,0,Q5,B
12,Q5 C,1,Q5,C
12,Q5 D,0,Q5,D
12,Q6 A,1,Q6,A
12,Q6 B,0,Q6,B
12,Q6 C,1,Q6,C
12,Q7 A,1,Q7,A
12,Q7 B,0,Q7,B
12,Q8 A,1,Q8,A
12,Q8 B,1,Q8,B
12,Q9 A,1,Q9,A
12,Q10 A,1,Q10,A
12,Q10 B,0,Q10,B
12,Q10 C,1,Q10,C
12,Q10 D,0,Q10,D
12,Q11 A,0,Q11,A
12,Q11 B,0,Q11,B
12,Q11 C,0,Q11,C
12,Q11 D,0,Q11,D
12,Q12 A,1,Q12,A
12,Q13 A,1,Q13,A
13,Q2 A,1,Q2,A
13,Q2 B,1,Q2,B
13,Q2 C,1,Q2,C
